Date,Location,Time,Temperature (°C),Humidity (%),Solar Irradiance (W/m²),Cloud Cover (%),Energy Generated (kWh)
2023-03-31,Bangalore,14:00:00,25,91,823,98,263
2023-03-31,Hyderabad,15:00:00,40,91,981,53,145
2023-03-31,Bangalore,16:00:00,43,55,341,53,458
2023-03-31,Bangalore,17:00:00,43,80,372,50,338
2023-03-31,Delhi,18:00:00,38,79,1064,51,329
2023-03-31,Kolkata,19:00:00,37,65,877,6,392
2023-03-31,Delhi,20:00:00,34,55,646,53,343
2023-03-31,Jaipur,21:00:00,21,62,318,92,117
2023-03-31,Chennai,22:00:00,33,97,914,10,270
2023-03-31,Chennai,23:00:00,40,37,210,61,459
2023-04-01,Ahmedabad,00:00:00,29,95,960,29,256
2023-04-01,Chennai,01:00:00,35,52,503,81,303
2023-04-01,Delhi,02:00:00,26,99,959,56,245
2023-04-01,Pune,03:00:00,27,84,353,45,242
2023-04-01,Hyderabad,04:00:00,29,72,522,79,286
2023-04-01,Delhi,05:00:00,34,50,736,69,221
2023-04-01,Delhi,06:00:00,27,51,1176,65,449
2023-04-01,Goa,07:00:00,32,38,644,54,199
2023-04-01,Hyderabad,08:00:00,31,63,541,57,383
2023-04-01,Jaipur,09:00:00,27,88,420,9,114
2023-04-01,Chennai,10:00:00,34,55,309,3,483
2023-04-01,Hyderabad,11:00:00,31,30,609,73,142
2023-04-01,Chennai,12:00:00,30,34,617,72,388
2023-04-01,Ahmedabad,13:00:00,38,70,801,61,485
2023-04-01,Hyderabad,14:00:00,33,92,704,42,286
2023-04-01,Chennai,15:00:00,37,51,976,41,107
2023-04-01,Jaipur,16:00:00,32,97,239,23,211
2023-04-01,Mumbai,17:00:00,23,77,708,4,132
2023-04-01,Bangalore,18:00:00,36,95,658,98,189
2023-04-01,Bangalore,19:00:00,38,45,462,67,248
2023-04-01,Jaipur,20:00:00,28,82,869,98,311
2023-04-01,Goa,21:00:00,42,94,317,76,215
2023-04-01,Mumbai,22:00:00,26,93,649,95,272
2023-04-01,Ahmedabad,23:00:00,20,97,967,44,119
2023-04-02,Jaipur,00:00:00,26,92,613,58,478
2023-04-02,Bangalore,01:00:00,26,91,907,64,231
2023-04-02,Bangalore,02:00:00,39,74,1025,62,391
2023-04-02,Bangalore,03:00:00,26,81,1022,74,453
2023-04-02,Kolkata,04:00:00,27,94,725,89,336
2023-04-02,Jaipur,05:00:00,35,31,660,66,176
2023-04-02,Delhi,06:00:00,22,78,317,48,322
2023-04-02,Ahmedabad,07:00:00,32,51,416,76,225
2023-04-02,Bangalore,08:00:00,29,58,916,31,138
2023-04-02,Chennai,09:00:00,37,64,276,49,426
2023-04-02,Jaipur,10:00:00,26,53,620,86,308
2023-04-02,Kolkata,11:00:00,40,59,1091,57,205
2023-04-02,Jaipur,12:00:00,40,71,371,51,239
2023-04-02,Ahmedabad,13:00:00,24,79,589,22,348
2023-04-02,Kolkata,14:00:00,42,89,225,29,154
2023-04-02,Ahmedabad,15:00:00,44,59,327,69,217
2023-04-02,Jaipur,16:00:00,43,41,573,70,449
2023-04-02,Delhi,17:00:00,41,78,853,29,275
2023-04-02,Ahmedabad,18:00:00,26,75,1103,36,453
2023-04-02,Kolkata,19:00:00,44,72,223,47,312
2023-04-02,Kolkata,20:00:00,41,31,669,31,364
2023-04-02,Ahmedabad,21:00:00,36,83,943,69,239
2023-04-02,Pune,22:00:00,23,64,622,34,424
2023-04-02,Jaipur,23:00:00,43,81,376,95,438
2023-04-03,Pune,00:00:00,42,62,1052,75,383
2023-04-03,Goa,01:00:00,35,80,946,67,372
2023-04-03,Jaipur,02:00:00,38,55,1030,31,121
2023-04-03,Ahmedabad,03:00:00,29,91,737,58,468
2023-04-03,Mumbai,04:00:00,22,90,465,34,286
2023-04-03,Ahmedabad,05:00:00,22,55,1172,15,306
2023-04-03,Pune,06:00:00,36,66,1073,78,246
2023-04-03,Delhi,07:00:00,29,59,828,51,253
2023-04-03,Ahmedabad,08:00:00,36,40,769,65,207
2023-04-03,Ahmedabad,09:00:00,41,82,469,5,415
2023-04-03,Delhi,10:00:00,36,70,528,13,399
2023-04-03,Ahmedabad,11:00:00,40,34,654,28,398
2023-04-03,Bangalore,12:00:00,23,95,494,25,250
2023-04-03,Mumbai,13:00:00,40,42,321,17,274
2023-04-03,Chennai,14:00:00,42,92,358,3,154
2023-04-03,Mumbai,15:00:00,25,54,377,56,366
2023-04-03,Ahmedabad,16:00:00,31,73,855,52,410
2023-04-03,Bangalore,17:00:00,44,43,527,24,253
2023-04-03,Jaipur,18:00:00,41,98,1079,46,484
2023-04-03,Ahmedabad,19:00:00,44,88,506,51,289
2023-04-03,Pune,20:00:00,39,85,1110,92,248
2023-04-03,Bangalore,21:00:00,36,81,288,33,107
2023-04-03,Delhi,22:00:00,36,95,950,15,247
2023-04-03,Bangalore,23:00:00,29,97,237,93,272
2023-04-04,Delhi,00:00:00,26,41,1072,86,180
2023-04-04,Goa,01:00:00,35,97,790,35,178
2023-04-04,Chennai,02:00:00,32,72,1056,27,420
2023-04-04,Hyderabad,03:00:00,22,35,1038,64,159
2023-04-04,Bangalore,04:00:00,21,44,545,71,194
2023-04-04,Kolkata,05:00:00,35,71,451,52,411
2023-04-04,Pune,06:00:00,25,60,1039,41,227
2023-04-04,Ahmedabad,07:00:00,25,82,1177,78,221
2023-04-04,Pune,08:00:00,32,35,348,97,386
2023-04-04,Mumbai,09:00:00,26,62,215,18,440
2023-04-04,Hyderabad,10:00:00,24,58,566,43,186
2023-04-04,Mumbai,11:00:00,43,50,1034,29,481
2023-04-04,Goa,12:00:00,26,83,1032,73,180
2023-04-04,Hyderabad,13:00:00,21,85,980,43,121
2023-04-04,Hyderabad,14:00:00,36,50,317,26,351
2023-04-04,Mumbai,15:00:00,32,84,903,83,289
2023-04-04,Delhi,16:00:00,44,87,516,88,411
2023-04-04,Mumbai,17:00:00,40,93,487,72,185
2023-04-04,Pune,18:00:00,40,75,1107,33,478
2023-04-04,Delhi,19:00:00,35,51,550,84,466
2023-04-04,Pune,20:00:00,39,89,496,23,107
2023-04-04,Goa,21:00:00,21,40,393,55,417
2023-04-04,Ahmedabad,22:00:00,24,76,591,6,433
2023-04-04,Jaipur,23:00:00,37,60,642,67,329
2023-04-05,Delhi,00:00:00,26,47,480,50,251
2023-04-05,Goa,01:00:00,30,51,1100,7,377
2023-04-05,Kolkata,02:00:00,44,85,500,55,114
2023-04-05,Goa,03:00:00,44,46,1097,76,386
2023-04-05,Mumbai,04:00:00,30,67,625,57,347
2023-04-05,Mumbai,05:00:00,41,54,449,84,354
2023-04-05,Jaipur,06:00:00,36,61,1133,98,442
2023-04-05,Goa,07:00:00,35,44,942,68,424
2023-04-05,Chennai,08:00:00,32,42,714,7,464
2023-04-05,Ahmedabad,09:00:00,41,87,885,65,266
2023-04-05,Mumbai,10:00:00,24,79,951,23,180
2023-04-05,Jaipur,11:00:00,39,40,1197,41,395
2023-04-05,Ahmedabad,12:00:00,35,42,605,53,168
2023-04-05,Goa,13:00:00,41,79,815,15,282
2023-04-05,Goa,14:00:00,41,67,1000,3,426
2023-04-05,Hyderabad,15:00:00,35,30,443,58,163
2023-04-05,Jaipur,16:00:00,35,68,999,93,363
2023-04-05,Mumbai,17:00:00,33,56,566,45,426
2023-04-05,Chennai,18:00:00,25,65,984,93,185
2023-04-05,Goa,19:00:00,21,61,319,98,143
2023-04-05,Chennai,20:00:00,33,70,1049,12,393
2023-04-05,Goa,21:00:00,35,44,639,36,472
2023-04-05,Mumbai,22:00:00,42,60,970,53,248
2023-04-05,Ahmedabad,23:00:00,39,35,703,48,359
2023-04-06,Bangalore,00:00:00,32,81,781,74,410
2023-04-06,Ahmedabad,01:00:00,34,51,632,57,448
2023-04-06,Goa,02:00:00,31,60,382,18,158
2023-04-06,Pune,03:00:00,28,75,660,17,193
2023-04-06,Bangalore,04:00:00,37,96,958,59,422
2023-04-06,Bangalore,05:00:00,40,72,317,16,104
2023-04-06,Chennai,06:00:00,33,30,230,10,182
2023-04-06,Jaipur,07:00:00,39,73,1176,14,427
2023-04-06,Chennai,08:00:00,44,86,348,71,482
2023-04-06,Chennai,09:00:00,23,38,727,92,136
2023-04-06,Pune,10:00:00,27,34,472,16,126
2023-04-06,Ahmedabad,11:00:00,27,38,1063,89,112
2023-04-06,Ahmedabad,12:00:00,41,74,584,4,489
2023-04-06,Kolkata,13:00:00,41,53,1079,60,164
2023-04-06,Goa,14:00:00,35,71,301,3,302
2023-04-06,Pune,15:00:00,43,51,271,55,279
2023-04-06,Kolkata,16:00:00,29,89,904,87,396
2023-04-06,Mumbai,17:00:00,44,66,1033,74,370
2023-04-06,Goa,18:00:00,40,68,822,93,488
2023-04-06,Goa,19:00:00,36,82,1004,47,114
2023-04-06,Hyderabad,20:00:00,20,57,607,47,100
2023-04-06,Hyderabad,21:00:00,37,44,546,34,370
2023-04-06,Delhi,22:00:00,29,89,1051,32,147
2023-04-06,Delhi,23:00:00,40,89,566,99,281
2023-04-07,Chennai,00:00:00,23,35,1029,20,282
2023-04-07,Mumbai,01:00:00,20,81,988,4,427
2023-04-07,Bangalore,02:00:00,23,41,817,63,472
2023-04-07,Bangalore,03:00:00,23,48,748,68,313
2023-04-07,Hyderabad,04:00:00,23,31,490,20,126
2023-04-07,Hyderabad,05:00:00,36,84,621,88,325
2023-04-07,Hyderabad,06:00:00,28,44,380,73,257
2023-04-07,Pune,07:00:00,38,93,854,82,159
2023-04-07,Jaipur,08:00:00,32,98,313,31,165
2023-04-07,Delhi,09:00:00,23,44,437,17,273
2023-04-07,Pune,10:00:00,24,72,1137,57,151
2023-04-07,Ahmedabad,11:00:00,32,46,293,97,342
2023-04-07,Bangalore,12:00:00,42,53,459,78,436
2023-04-07,Goa,13:00:00,35,59,306,23,390
2023-04-07,Delhi,14:00:00,41,96,443,4,343
2023-04-07,Kolkata,15:00:00,24,80,622,52,220
2023-04-07,Ahmedabad,16:00:00,27,89,534,95,141
2023-04-07,Delhi,17:00:00,35,32,222,72,283
2023-04-07,Pune,18:00:00,20,34,1072,54,144
2023-04-07,Mumbai,19:00:00,42,57,470,4,151
2023-04-07,Goa,20:00:00,25,40,1185,68,250
2023-04-07,Delhi,21:00:00,30,44,339,40,128
2023-04-07,Jaipur,22:00:00,35,77,665,97,156
2023-04-07,Hyderabad,23:00:00,24,75,653,6,374
2023-04-08,Hyderabad,00:00:00,35,57,583,89,308
2023-04-08,Goa,01:00:00,26,36,793,0,107
2023-04-08,Pune,02:00:00,38,35,576,51,490
2023-04-08,Hyderabad,03:00:00,20,87,637,97,346
2023-04-08,Delhi,04:00:00,28,97,1055,25,494
2023-04-08,Kolkata,05:00:00,37,84,621,95,294
2023-04-08,Bangalore,06:00:00,32,96,355,62,421
2023-04-08,Bangalore,07:00:00,34,78,534,11,438
2023-04-08,Ahmedabad,08:00:00,22,80,730,69,127
2023-04-08,Chennai,09:00:00,43,88,780,83,444
2023-04-08,Mumbai,10:00:00,29,35,1159,18,430
2023-04-08,Goa,11:00:00,28,80,331,79,395
2023-04-08,Ahmedabad,12:00:00,32,67,967,3,334
2023-04-08,Chennai,13:00:00,35,40,920,95,229
2023-04-08,Pune,14:00:00,22,81,700,81,175
2023-04-08,Jaipur,15:00:00,41,49,721,4,332
2023-04-08,Jaipur,16:00:00,42,39,339,53,329
2023-04-08,Mumbai,17:00:00,34,55,1164,69,431
2023-04-08,Hyderabad,18:00:00,36,77,334,56,469
2023-04-08,Delhi,19:00:00,33,43,966,77,450
2023-04-08,Ahmedabad,20:00:00,26,88,1011,51,409
2023-04-08,Ahmedabad,21:00:00,39,41,606,17,495
2023-04-08,Goa,22:00:00,35,52,969,63,288
2023-04-08,Goa,23:00:00,40,68,293,9,101
2023-04-09,Jaipur,00:00:00,27,38,1083,22,435
2023-04-09,Jaipur,01:00:00,23,54,440,81,164
2023-04-09,Kolkata,02:00:00,39,46,948,67,151
2023-04-09,Kolkata,03:00:00,43,71,364,51,133
2023-04-09,Hyderabad,04:00:00,34,58,524,95,400
2023-04-09,Kolkata,05:00:00,24,89,859,46,339
2023-04-09,Delhi,06:00:00,32,96,417,69,228
2023-04-09,Delhi,07:00:00,25,86,1139,25,342
2023-04-09,Ahmedabad,08:00:00,24,43,819,69,455
2023-04-09,Bangalore,09:00:00,36,68,430,98,407
2023-04-09,Delhi,10:00:00,26,45,781,42,422
2023-04-09,Chennai,11:00:00,25,47,932,68,197
2023-04-09,Jaipur,12:00:00,21,49,785,62,175
2023-04-09,Goa,13:00:00,30,75,378,77,411
2023-04-09,Kolkata,14:00:00,26,74,279,65,464
2023-04-09,Ahmedabad,15:00:00,41,33,553,62,318
2023-04-09,Mumbai,16:00:00,40,49,870,12,405
2023-04-09,Goa,17:00:00,27,40,1067,50,200
2023-04-09,Chennai,18:00:00,24,94,880,4,218
2023-04-09,Kolkata,19:00:00,37,47,1025,46,239
2023-04-09,Chennai,20:00:00,41,68,1100,35,470
2023-04-09,Jaipur,21:00:00,35,73,360,35,324
2023-04-09,Jaipur,22:00:00,33,47,626,49,354
2023-04-09,Hyderabad,23:00:00,31,76,602,55,172
2023-04-10,Ahmedabad,00:00:00,36,60,231,18,411
2023-04-10,Goa,01:00:00,24,68,320,19,405
2023-04-10,Pune,02:00:00,33,67,926,21,255
2023-04-10,Pune,03:00:00,25,76,714,30,358
2023-04-10,Goa,04:00:00,34,99,584,61,163
2023-04-10,Mumbai,05:00:00,26,37,939,43,409
2023-04-10,Ahmedabad,06:00:00,33,94,624,67,135
2023-04-10,Chennai,07:00:00,37,42,675,66,347
2023-04-10,Mumbai,08:00:00,20,84,759,88,143
2023-04-10,Bangalore,09:00:00,25,72,366,48,218
2023-04-10,Goa,10:00:00,22,33,588,58,448
2023-04-10,Chennai,11:00:00,24,89,532,3,280
2023-04-10,Pune,12:00:00,31,41,722,38,496
2023-04-10,Delhi,13:00:00,30,88,949,6,487
2023-04-10,Hyderabad,14:00:00,32,83,989,70,169
2023-04-10,Pune,15:00:00,35,73,952,48,457
2023-04-10,Ahmedabad,16:00:00,37,45,670,88,366
2023-04-10,Jaipur,17:00:00,36,35,903,14,318
2023-04-10,Delhi,18:00:00,36,43,723,6,465
2023-04-10,Hyderabad,19:00:00,30,87,252,46,289
2023-04-10,Hyderabad,20:00:00,39,60,766,67,355
2023-04-10,Bangalore,21:00:00,29,70,1020,97,286
2023-04-10,Bangalore,22:00:00,35,64,220,44,326
2023-04-10,Kolkata,23:00:00,21,39,218,18,160
2023-04-11,Pune,00:00:00,36,59,1164,46,267
2023-04-11,Pune,01:00:00,41,73,1055,52,231
2023-04-11,Pune,02:00:00,39,84,1061,26,254
2023-04-11,Kolkata,03:00:00,29,47,655,4,371
2023-04-11,Mumbai,04:00:00,32,68,521,59,309
2023-04-11,Hyderabad,05:00:00,31,71,1026,76,106
2023-04-11,Delhi,06:00:00,34,83,632,61,110
2023-04-11,Ahmedabad,07:00:00,26,59,1193,58,299
2023-04-11,Hyderabad,08:00:00,41,49,258,60,350
2023-04-11,Bangalore,09:00:00,40,71,350,55,163
2023-04-11,Chennai,10:00:00,32,34,970,77,279
2023-04-11,Jaipur,11:00:00,31,79,639,93,227
2023-04-11,Kolkata,12:00:00,31,70,1083,46,361
2023-04-11,Goa,13:00:00,21,68,257,47,219
2023-04-11,Chennai,14:00:00,24,86,927,9,147
2023-04-11,Ahmedabad,15:00:00,44,86,773,31,168
2023-04-11,Pune,16:00:00,44,66,857,64,476
2023-04-11,Bangalore,17:00:00,21,36,1156,23,361
2023-04-11,Bangalore,18:00:00,42,34,1093,28,329
2023-04-11,Bangalore,19:00:00,39,80,950,6,351
2023-04-11,Pune,20:00:00,32,37,492,94,330
2023-04-11,Goa,21:00:00,22,85,381,16,323
2023-04-11,Kolkata,22:00:00,30,40,1080,93,306
2023-04-11,Chennai,23:00:00,35,51,806,24,440
2023-04-12,Pune,00:00:00,20,40,277,91,465
2023-04-12,Ahmedabad,01:00:00,38,89,1160,35,127
2023-04-12,Kolkata,02:00:00,30,44,853,60,464
2023-04-12,Ahmedabad,03:00:00,28,67,304,70,318
2023-04-12,Kolkata,04:00:00,33,30,460,34,488
2023-04-12,Goa,05:00:00,28,75,806,83,436
2023-04-12,Jaipur,06:00:00,26,72,422,77,200
2023-04-12,Ahmedabad,07:00:00,35,51,1189,49,157
2023-04-12,Pune,08:00:00,22,32,683,55,123
2023-04-12,Kolkata,09:00:00,38,43,901,93,326
2023-04-12,Bangalore,10:00:00,23,31,328,64,268
2023-04-12,Hyderabad,11:00:00,26,90,518,40,345
2023-04-12,Bangalore,12:00:00,42,61,906,24,423
2023-04-12,Mumbai,13:00:00,31,67,708,33,311
2023-04-12,Jaipur,14:00:00,37,75,219,7,462
2023-04-12,Jaipur,15:00:00,24,71,1010,55,365
2023-04-12,Bangalore,16:00:00,42,35,951,83,120
2023-04-12,Chennai,17:00:00,42,70,434,29,223
2023-04-12,Goa,18:00:00,41,54,796,67,468
2023-04-12,Ahmedabad,19:00:00,29,40,805,20,196
2023-04-12,Pune,20:00:00,31,70,753,90,237
2023-04-12,Jaipur,21:00:00,27,86,1075,9,437
2023-04-12,Bangalore,22:00:00,38,75,549,86,452
2023-04-12,Bangalore,23:00:00,34,77,652,32,192
2023-04-13,Goa,00:00:00,20,92,785,74,194
2023-04-13,Goa,01:00:00,22,68,1183,82,123
2023-04-13,Delhi,02:00:00,37,39,1076,74,479
2023-04-13,Delhi,03:00:00,37,99,708,3,495
2023-04-13,Chennai,04:00:00,21,94,826,22,235
2023-04-13,Chennai,05:00:00,24,88,622,68,433
2023-04-13,Mumbai,06:00:00,20,65,389,52,232
2023-04-13,Chennai,07:00:00,29,56,1143,4,153
2023-04-13,Kolkata,08:00:00,39,84,324,17,391
2023-04-13,Goa,09:00:00,29,99,205,16,211
2023-04-13,Pune,10:00:00,24,82,657,57,230
2023-04-13,Kolkata,11:00:00,37,89,1090,66,377
2023-04-13,Ahmedabad,12:00:00,40,90,753,71,363
2023-04-13,Bangalore,13:00:00,34,65,769,55,481
2023-04-13,Chennai,14:00:00,39,56,1138,39,177
2023-04-13,Bangalore,15:00:00,27,70,721,86,362
2023-04-13,Jaipur,16:00:00,36,57,288,86,167
2023-04-13,Mumbai,17:00:00,31,45,1045,1,161
2023-04-13,Jaipur,18:00:00,40,64,310,20,462
2023-04-13,Mumbai,19:00:00,31,65,750,51,274
2023-04-13,Delhi,20:00:00,20,85,596,23,379
2023-04-13,Bangalore,21:00:00,23,48,1170,52,489
2023-04-13,Mumbai,22:00:00,27,86,878,37,335
2023-04-13,Hyderabad,23:00:00,20,62,210,19,235
2023-04-14,Kolkata,00:00:00,34,52,821,49,323
2023-04-14,Mumbai,01:00:00,37,92,696,38,188
2023-04-14,Mumbai,02:00:00,20,99,215,59,206
2023-04-14,Kolkata,03:00:00,30,51,232,90,140
2023-04-14,Bangalore,04:00:00,42,96,944,38,285
2023-04-14,Bangalore,05:00:00,21,88,688,70,287
2023-04-14,Kolkata,06:00:00,20,54,387,32,465
2023-04-14,Jaipur,07:00:00,31,46,935,28,486
2023-04-14,Hyderabad,08:00:00,35,68,770,73,108
2023-04-14,Pune,09:00:00,41,68,657,9,279
2023-04-14,Ahmedabad,10:00:00,41,53,250,75,285
2023-04-14,Hyderabad,11:00:00,29,67,470,66,181
2023-04-14,Bangalore,12:00:00,37,86,663,2,276
2023-04-14,Pune,13:00:00,34,73,242,76,193
2023-04-14,Delhi,14:00:00,36,65,738,30,488
2023-04-14,Chennai,15:00:00,29,99,767,26,215
2023-04-14,Mumbai,16:00:00,22,74,320,69,259
2023-04-14,Kolkata,17:00:00,40,55,824,26,344
2023-04-14,Kolkata,18:00:00,35,40,515,98,382
2023-04-14,Mumbai,19:00:00,25,81,314,8,312
2023-04-14,Chennai,20:00:00,22,54,820,5,251
2023-04-14,Ahmedabad,21:00:00,28,60,1191,5,265
2023-04-14,Chennai,22:00:00,30,74,653,25,499
2023-04-14,Pune,23:00:00,40,96,886,42,242
2023-04-15,Chennai,00:00:00,32,69,823,18,124
2023-04-15,Pune,01:00:00,37,75,811,15,299
2023-04-15,Chennai,02:00:00,41,83,719,22,332
2023-04-15,Ahmedabad,03:00:00,43,70,1158,74,103
2023-04-15,Ahmedabad,04:00:00,41,67,1184,79,387
2023-04-15,Bangalore,05:00:00,23,65,846,28,272
2023-04-15,Mumbai,06:00:00,41,73,962,37,283
2023-04-15,Ahmedabad,07:00:00,43,86,536,58,350
2023-04-15,Pune,08:00:00,27,95,439,47,390
2023-04-15,Ahmedabad,09:00:00,32,59,933,19,385
2023-04-15,Bangalore,10:00:00,29,39,585,20,458
2023-04-15,Kolkata,11:00:00,21,90,344,27,211
2023-04-15,Pune,12:00:00,27,92,576,49,404
2023-04-15,Bangalore,13:00:00,25,65,203,32,449
2023-04-15,Jaipur,14:00:00,35,83,993,39,438
2023-04-15,Jaipur,15:00:00,37,94,1045,89,229
2023-04-15,Delhi,16:00:00,36,33,527,53,286
2023-04-15,Chennai,17:00:00,25,84,396,9,128
2023-04-15,Mumbai,18:00:00,32,83,588,33,257
2023-04-15,Goa,19:00:00,42,93,839,72,473
2023-04-15,Hyderabad,20:00:00,33,51,460,35,334
2023-04-15,Bangalore,21:00:00,40,54,802,74,377
2023-04-15,Kolkata,22:00:00,29,88,1036,73,201
2023-04-15,Hyderabad,23:00:00,43,86,970,6,324
2023-04-16,Kolkata,00:00:00,30,83,1133,15,374
2023-04-16,Hyderabad,01:00:00,32,73,293,50,422
2023-04-16,Bangalore,02:00:00,31,81,456,89,331
2023-04-16,Goa,03:00:00,28,45,335,95,441
2023-04-16,Hyderabad,04:00:00,23,45,724,60,373
2023-04-16,Bangalore,05:00:00,26,84,1179,30,464
2023-04-16,Ahmedabad,06:00:00,43,90,909,31,212
2023-04-16,Goa,07:00:00,41,69,697,44,488
2023-04-16,Pune,08:00:00,21,50,377,75,238
2023-04-16,Kolkata,09:00:00,26,95,311,26,315
2023-04-16,Jaipur,10:00:00,28,37,463,21,413
2023-04-16,Chennai,11:00:00,24,39,613,14,373
2023-04-16,Jaipur,12:00:00,34,86,568,7,427
2023-04-16,Goa,13:00:00,37,33,1135,67,448
2023-04-16,Pune,14:00:00,23,72,790,7,283
2023-04-16,Kolkata,15:00:00,38,92,577,86,411
2023-04-16,Pune,16:00:00,39,72,967,15,293
2023-04-16,Hyderabad,17:00:00,26,96,785,47,378
2023-04-16,Kolkata,18:00:00,27,80,582,33,371
2023-04-16,Hyderabad,19:00:00,36,85,872,85,399
2023-04-16,Bangalore,20:00:00,32,72,710,86,171
2023-04-16,Goa,21:00:00,43,53,912,56,295
2023-04-16,Bangalore,22:00:00,40,63,1080,4,369
2023-04-16,Delhi,23:00:00,42,88,1019,43,492
2023-04-17,Pune,00:00:00,30,31,576,70,430
2023-04-17,Hyderabad,01:00:00,20,31,744,36,339
2023-04-17,Ahmedabad,02:00:00,21,39,272,89,207
2023-04-17,Bangalore,03:00:00,36,52,1173,27,499
2023-04-17,Delhi,04:00:00,24,44,703,67,496
2023-04-17,Mumbai,05:00:00,25,46,551,95,391
2023-04-17,Jaipur,06:00:00,44,43,1004,37,399
2023-04-17,Kolkata,07:00:00,43,45,909,45,199
2023-04-17,Delhi,08:00:00,26,61,524,72,180
2023-04-17,Goa,09:00:00,40,52,587,99,369
2023-04-17,Bangalore,10:00:00,34,63,1027,25,448
2023-04-17,Goa,11:00:00,38,45,439,74,116
2023-04-17,Jaipur,12:00:00,35,63,1175,83,292
2023-04-17,Ahmedabad,13:00:00,44,62,273,52,311
2023-04-17,Pune,14:00:00,32,97,230,62,452
2023-04-17,Pune,15:00:00,24,72,678,62,225
2023-04-17,Goa,16:00:00,22,93,213,37,409
2023-04-17,Hyderabad,17:00:00,22,47,916,14,225
2023-04-17,Ahmedabad,18:00:00,38,97,515,98,229
2023-04-17,Pune,19:00:00,33,90,267,8,244
2023-04-17,Ahmedabad,20:00:00,35,49,839,96,355
2023-04-17,Delhi,21:00:00,41,40,737,74,122
2023-04-17,Ahmedabad,22:00:00,36,75,1119,21,313
2023-04-17,Chennai,23:00:00,23,93,895,69,228
2023-04-18,Jaipur,00:00:00,32,57,848,55,111
2023-04-18,Pune,01:00:00,27,77,490,36,240
2023-04-18,Ahmedabad,02:00:00,38,64,817,56,367
2023-04-18,Goa,03:00:00,24,37,1174,59,156
2023-04-18,Mumbai,04:00:00,21,51,223,84,185
2023-04-18,Chennai,05:00:00,34,53,614,11,373
2023-04-18,Chennai,06:00:00,21,95,1050,6,202
2023-04-18,Hyderabad,07:00:00,30,93,1161,65,438
2023-04-18,Ahmedabad,08:00:00,32,94,905,40,449
2023-04-18,Hyderabad,09:00:00,42,43,880,23,242
2023-04-18,Hyderabad,10:00:00,29,54,235,89,433
2023-04-18,Mumbai,11:00:00,22,32,300,24,428
2023-04-18,Delhi,12:00:00,24,34,745,61,275
2023-04-18,Ahmedabad,13:00:00,22,94,1088,83,232
2023-04-18,Bangalore,14:00:00,25,83,238,43,443
2023-04-18,Pune,15:00:00,32,48,410,1,363
2023-04-18,Hyderabad,16:00:00,29,83,941,41,246
2023-04-18,Jaipur,17:00:00,38,39,990,98,111
2023-04-18,Kolkata,18:00:00,27,45,791,32,427
2023-04-18,Jaipur,19:00:00,37,75,949,16,491
2023-04-18,Mumbai,20:00:00,22,58,371,62,154
2023-04-18,Mumbai,21:00:00,43,44,1037,21,329
2023-04-18,Goa,22:00:00,43,77,641,0,221
2023-04-18,Delhi,23:00:00,36,40,258,93,448
2023-04-19,Pune,00:00:00,27,63,609,69,332
2023-04-19,Hyderabad,01:00:00,29,65,733,53,261
2023-04-19,Jaipur,02:00:00,21,59,564,13,181
2023-04-19,Kolkata,03:00:00,31,48,566,99,146
2023-04-19,Mumbai,04:00:00,42,97,543,96,463
2023-04-19,Mumbai,05:00:00,25,99,949,52,390
2023-04-19,Delhi,06:00:00,21,62,495,5,259
2023-04-19,Kolkata,07:00:00,40,51,540,89,278
2023-04-19,Kolkata,08:00:00,42,65,805,63,461
2023-04-19,Delhi,09:00:00,43,52,955,87,307
2023-04-19,Mumbai,10:00:00,22,92,722,32,489
2023-04-19,Pune,11:00:00,36,55,828,71,492
2023-04-19,Ahmedabad,12:00:00,26,89,464,43,139
2023-04-19,Ahmedabad,13:00:00,40,34,723,33,313
2023-04-19,Delhi,14:00:00,24,83,865,33,451
2023-04-19,Kolkata,15:00:00,42,67,237,23,253
2023-04-19,Hyderabad,16:00:00,20,91,330,1,437
2023-04-19,Delhi,17:00:00,27,54,581,7,392
2023-04-19,Pune,18:00:00,31,41,424,24,495
2023-04-19,Delhi,19:00:00,33,51,342,93,265
2023-04-19,Chennai,20:00:00,35,38,630,31,371
2023-04-19,Jaipur,21:00:00,29,58,588,55,123
2023-04-19,Kolkata,22:00:00,34,73,253,93,214
2023-04-19,Goa,23:00:00,40,56,223,6,450
2023-04-20,Goa,00:00:00,43,84,594,47,359
2023-04-20,Kolkata,01:00:00,34,34,832,87,405
2023-04-20,Pune,02:00:00,29,81,318,53,463
2023-04-20,Chennai,03:00:00,40,42,872,62,325
2023-04-20,Chennai,04:00:00,26,71,1182,72,201
2023-04-20,Mumbai,05:00:00,22,44,785,79,230
2023-04-20,Jaipur,06:00:00,21,47,384,1,363
2023-04-20,Ahmedabad,07:00:00,25,79,1147,34,111
2023-04-20,Bangalore,08:00:00,40,31,391,97,421
2023-04-20,Pune,09:00:00,28,42,1138,21,280
2023-04-20,Bangalore,10:00:00,29,97,931,82,448
2023-04-20,Bangalore,11:00:00,23,76,686,63,260
2023-04-20,Kolkata,12:00:00,22,79,832,58,213
2023-04-20,Goa,13:00:00,28,41,920,48,117
2023-04-20,Goa,14:00:00,43,42,583,51,203
